timestamp,node_id,algorithm,first_convergence_time_ms,elections_started,elections_completed,total_election_time_ms,messages_sent,messages_received,bytes_sent,bytes_received,leader_changes,current_leader,time_in_normal_ms,time_in_election_ms,time_in_waiting_ms,state_transitions,timeouts_detected,heartbeats_sent,heartbeats_received,current_state,am_leader,ring_completions,forwards,msg_election_sent,msg_coordinator_sent,msg_alive_sent,msg_election_recv,msg_coordinator_recv,msg_alive_recv,acks_sent,acks_received,retries,nodes_marked_unreachable,nodes_recovered,ring_reconfigs
1446,3,ring,1446,1,0,0,1,0,14,0,1,3,0,1446,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1729,7,ring,1729,1,0,0,1,1,14,14,1,7,0,1729,0,2,0,0,0,LEADER,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2221,8,ring,2221,1,0,0,1,3,14,42,1,7,0,2221,0,2,0,0,0,NORMAL,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
1616,10,ring,1616,1,0,0,1,0,14,0,1,10,0,1616,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2309,9,ring,2309,1,0,0,2,1,28,14,1,7,0,2309,0,2,0,0,0,NORMAL,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
1889,4,ring,1889,1,0,0,1,2,14,28,1,3,0,1889,0,2,0,0,0,NORMAL,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2025,1,ring,2025,1,0,0,1,1,14,14,1,1,0,2025,0,2,0,0,0,LEADER,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2283,6,ring,2283,1,0,0,2,4,28,56,1,3,0,2283,0,2,0,0,0,NORMAL,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0
2004,2,ring,2004,1,0,0,1,2,14,28,1,1,0,2004,0,2,0,0,0,NORMAL,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2673,7,ring,1729,1,0,0,3,5,42,70,1,7,944,1729,0,2,0,0,0,LEADER,1,0,0,3,0,0,5,0,0,0,0,0,0,0,0
2572,5,ring,2572,1,0,0,1,3,14,42,1,3,0,2572,0,2,0,0,0,NORMAL,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
2536,10,ring,1616,1,0,0,1,0,14,0,1,10,920,1616,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3250,8,ring,2221,1,0,0,3,6,42,84,1,7,1029,2221,0,2,0,0,0,NORMAL,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0
3119,6,ring,2283,1,0,0,2,4,28,56,1,3,836,2283,0,2,0,0,0,NORMAL,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0
3456,10,ring,1616,1,0,0,1,0,14,0,1,10,1840,1616,0,2,0,0,0,LEADER,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4161,7,ring,1729,1,0,0,4,6,56,84,1,7,2432,1729,0,2,0,0,0,LEADER,1,0,0,4,0,0,6,0,0,0,0,0,0,0,0
4490,9,ring,2309,1,0,0,4,3,56,42,1,7,2181,2309,0,2,0,0,0,NORMAL,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
4435,3,ring,1446,1,0,0,2,3,28,42,1,3,2989,1446,0,2,0,0,0,LEADER,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0
3964,6,ring,2283,1,0,0,3,6,42,84,1,3,1681,2283,0,2,0,0,0,NORMAL,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0
4331,1,ring,2025,1,0,0,1,1,14,14,1,1,2306,2025,0,2,0,0,0,LEADER,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4302,5,ring,2572,1,0,0,3,6,42,84,1,3,1730,2572,0,2,0,0,0,NORMAL,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0
4377,10,ring,1616,1,0,0,2,0,28,0,1,10,2761,1616,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5403,8,ring,2221,1,0,0,4,9,56,126,1,7,3182,2221,0,2,0,0,0,NORMAL,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0
4882,4,ring,1889,1,0,0,3,5,42,70,1,3,2993,1889,0,2,0,0,0,NORMAL,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0
4920,6,ring,2283,1,0,0,4,8,56,112,2,6,2637,2283,0,3,0,0,0,LEADER,1,0,0,4,0,0,8,0,0,0,0,0,0,0,0
5297,10,ring,1616,1,0,0,2,0,28,0,1,10,3681,1616,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5295,2,ring,2004,1,0,0,2,4,28,56,1,1,3291,2004,0,2,0,0,0,NORMAL,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0
6065,6,ring,2283,1,0,0,4,8,56,112,2,6,3782,2283,0,3,0,0,0,LEADER,1,0,0,4,0,0,8,0,0,0,0,0,0,0,0
6217,10,ring,1616,1,0,0,2,0,28,0,1,10,4601,1616,0,3,0,0,0,LEADER,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6638,1,ring,2025,1,0,0,2,2,28,28,1,1,4613,2025,0,2,0,0,0,LEADER,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0
7012,5,ring,2572,1,0,0,3,7,42,98,1,3,4440,2572,0,2,0,0,0,NORMAL,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0
7391,7,ring,1729,1,0,0,5,9,70,126,2,6,5662,1729,0,3,0,0,0,NORMAL,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0
7210,6,ring,2283,1,0,0,4,8,56,112,2,6,4927,2283,0,3,0,0,0,LEADER,1,0,0,4,0,0,8,0,0,0,0,0,0,0,0
7138,10,ring,1616,1,0,0,3,0,42,0,1,10,5522,1616,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
8161,3,ring,1446,1,0,0,3,5,42,70,1,3,6715,1446,0,2,0,0,0,LEADER,1,0,0,3,0,0,5,0,0,0,0,0,0,0,0
7933,4,ring,1889,1,0,0,3,6,42,84,1,3,6044,1889,0,2,0,0,0,NORMAL,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0
8058,10,ring,1616,1,0,0,3,0,42,0,1,10,6442,1616,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
8357,6,ring,2283,1,0,0,6,9,84,126,3,5,6074,2283,0,4,0,0,0,NORMAL,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0
9091,9,ring,2309,1,0,0,5,5,70,70,1,7,6782,2309,0,2,0,0,0,NORMAL,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0
8945,1,ring,2025,1,0,0,3,2,42,28,1,1,6920,2025,0,3,0,0,0,LEADER,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0
8978,10,ring,1616,1,0,0,3,0,42,0,1,10,7362,1616,0,4,0,0,0,LEADER,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
9434,2,ring,2004,1,0,0,2,7,28,98,1,1,7430,2004,0,2,0,0,0,NORMAL,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0
9899,10,ring,1616,1,0,0,4,0,56,0,1,10,8283,1616,0,5,0,0,0,LEADER,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
10744,8,ring,2221,1,0,0,5,10,70,140,2,6,8523,2221,0,3,0,0,0,NORMAL,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0
10092,5,ring,2572,1,0,0,5,11,70,154,2,4,7520,2572,0,3,0,0,0,NORMAL,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0
10830,4,ring,1889,1,0,0,4,9,56,126,2,4,8941,1889,0,3,0,0,0,LEADER,1,0,0,4,0,0,9,0,0,0,0,0,0,0,0
10819,10,ring,1616,1,0,0,4,0,56,0,1,10,9203,1616,0,5,0,0,0,LEADER,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
11251,1,ring,2025,1,0,0,3,3,42,42,1,1,9226,2025,0,3,0,0,0,LEADER,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0
11665,7,ring,1729,1,0,0,5,12,70,168,2,6,9936,1729,0,3,0,0,0,NORMAL,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0
11739,10,ring,1616,1,0,0,4,0,56,0,1,10,10123,1616,0,5,0,0,0,LEADER,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
12577,3,ring,1446,1,0,0,4,7,56,98,2,4,11131,1446,0,3,0,0,0,NORMAL,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0
12450,6,ring,2283,1,0,0,7,10,98,140,3,5,10167,2283,0,4,0,0,0,NORMAL,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0
12660,10,ring,1616,1,0,0,5,0,70,0,1,10,11044,1616,0,6,0,0,0,LEADER,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
13094,5,ring,2572,1,0,0,5,11,70,154,2,4,10522,2572,0,3,0,0,0,NORMAL,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0
13580,10,ring,1616,1,0,0,5,0,70,0,1,10,11964,1616,0,6,0,0,0,LEADER,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
13406,2,ring,2004,1,0,0,3,7,42,98,2,2,11402,2004,0,3,0,0,0,LEADER,1,0,0,3,0,0,7,0,0,0,0,0,0,0,0
13754,4,ring,1889,1,0,0,4,9,56,126,2,4,11865,1889,0,3,0,0,0,LEADER,1,0,0,4,0,0,9,0,0,0,0,0,0,0,0
14500,10,ring,1616,1,0,0,5,0,70,0,1,10,12884,1616,0,6,0,0,0,LEADER,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
15421,10,ring,1616,1,0,0,6,0,84,0,1,10,13805,1616,0,7,0,0,0,LEADER,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
15939,7,ring,1729,1,0,0,5,12,70,168,2,6,14210,1729,0,3,0,0,0,NORMAL,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0
16663,9,ring,2309,1,0,0,6,5,84,70,2,9,14354,2309,0,3,0,0,0,LEADER,1,0,0,6,0,0,5,0,0,0,0,0,0,0,0
16096,5,ring,2572,1,0,0,5,11,70,154,2,4,13524,2572,0,3,0,0,0,NORMAL,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0
16341,10,ring,1616,1,0,0,6,0,84,0,1,10,14725,1616,0,7,0,0,0,LEADER,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
16678,4,ring,1889,1,0,0,4,9,56,126,2,4,14789,1889,0,3,0,0,0,LEADER,1,0,0,4,0,0,9,0,0,0,0,0,0,0,0
17231,6,ring,2283,1,0,0,7,12,98,168,3,5,14948,2283,0,4,0,0,0,NORMAL,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0
17261,10,ring,1616,1,0,0,6,0,84,0,1,10,15645,1616,0,7,0,0,0,LEADER,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
17377,2,ring,2004,1,0,0,3,7,42,98,2,2,15373,2004,0,3,0,0,0,LEADER,1,0,0,3,0,0,7,0,0,0,0,0,0,0,0
18182,10,ring,1616,1,0,0,7,0,98,0,1,10,16566,1616,0,8,0,0,0,LEADER,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
19102,10,ring,1616,1,0,0,7,0,98,0,1,10,17486,1616,0,8,0,0,0,LEADER,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
